launches,kernel,sampled,hit_pct,avg_gap,max_gap,miss,h1,h4,h16,h64,hfar
5,ampere_sgemm_128x128_tn,1975,21.01,2.35,8,1560,280,69,66,0,0
5,ampere_sgemm_128x128_nn,3180,10.72,5.59,22,2839,103,52,146,40,0
